Date,Close
9/22/2015,6.33
9/23/2015,5.76
9/24/2015,5.48
9/25/2015,5.31
9/28/2015,4.73
9/29/2015,4.27
9/30/2015,4.67
10/1/2015,4.21
10/2/2015,4.01
10/5/2015,4.14
10/6/2015,4.47
10/7/2015,4.53
10/8/2015,4.4
10/9/2015,4.47
10/12/2015,4.2
10/13/2015,4.4
10/14/2015,4.27
10/15/2015,4.27
10/16/2015,4.4
10/19/2015,4.31
10/20/2015,4.2
10/21/2015,4.33
10/22/2015,4.2
10/23/2015,4.29
10/26/2015,4.67
10/27/2015,4.67
10/28/2015,4.71
10/29/2015,4.73
10/30/2015,4.53
11/2/2015,4.47
11/3/2015,4.53
11/4/2015,4.47
11/5/2015,4.47
11/6/2015,4.33
11/9/2015,4
11/10/2015,3.79
11/11/2015,3.84
11/12/2015,3.93
11/13/2015,4.33
11/16/2015,4.07
11/17/2015,4.07
11/18/2015,4.17
11/19/2015,3.8
11/20/2015,3.47
11/23/2015,3.19
11/24/2015,3.2
11/25/2015,3.4
11/27/2015,3.2
11/30/2015,2.47
12/1/2015,19.2
12/2/2015,11.87
12/3/2015,7.48
12/4/2015,8.48
12/7/2015,9.24
12/8/2015,9.54
12/9/2015,9.16
12/10/2015,9.21
12/11/2015,9.19
12/14/2015,7.87
12/15/2015,7.09
12/16/2015,7.14
12/17/2015,6.5
12/18/2015,6.54
12/21/2015,6.37
12/22/2015,5.8
12/23/2015,5.93
12/24/2015,5.79
12/28/2015,5.76
12/29/2015,5.73
12/30/2015,5.51
12/31/2015,5.44
1/4/2016,5.44
1/5/2016,4.94
1/6/2016,5
1/7/2016,4.48
1/8/2016,4.01
1/11/2016,7.34
1/12/2016,7.49
1/13/2016,8.35
1/14/2016,7.6
1/15/2016,7.66
1/19/2016,7.72
1/20/2016,7.6
1/21/2016,7.75
1/22/2016,7.72
1/25/2016,7.24
1/26/2016,7.12
1/27/2016,6.3
1/28/2016,6.41
1/29/2016,6.73
2/1/2016,6.57
2/2/2016,6.28
2/3/2016,5.92
2/4/2016,7.57
2/5/2016,6.7
2/8/2016,6.31
2/9/2016,6.35
2/10/2016,6.89
2/11/2016,7.07
2/12/2016,6.82
2/16/2016,6.58
2/17/2016,6.9
2/18/2016,6.68
2/19/2016,6.82
2/22/2016,6.7
2/23/2016,6.23
2/24/2016,6.31
2/25/2016,6.05
2/26/2016,5.54
2/29/2016,5.61
3/1/2016,5.92
3/2/2016,5.92
3/3/2016,5.92
3/4/2016,5.71
3/7/2016,5.51
3/8/2016,5.4
3/9/2016,5.24
3/10/2016,4.65
3/11/2016,4.65
3/14/2016,4.61
3/15/2016,4.35
3/16/2016,4.6
3/17/2016,4.67
3/18/2016,4.61
3/21/2016,4.73
3/22/2016,4.62
3/23/2016,4.66
3/24/2016,4.56
3/28/2016,4.45
3/29/2016,4.1
3/30/2016,4.16
3/31/2016,4.26
4/1/2016,4.2
4/4/2016,4.11
4/5/2016,4.75
4/6/2016,4.5
4/7/2016,4.59
4/8/2016,4.7
4/11/2016,4.63
4/12/2016,4.51
4/13/2016,4.59
4/14/2016,4.5
4/15/2016,5.55
4/18/2016,5.45
4/19/2016,5.36
4/20/2016,5.48
4/21/2016,5.38
4/22/2016,5.35
4/25/2016,5.73
4/26/2016,5.68
4/27/2016,5.6
4/28/2016,5.6
4/29/2016,5.11
5/2/2016,5.33
5/3/2016,5.21
5/4/2016,5.24
5/5/2016,5.15
5/6/2016,5.2
5/9/2016,5.2
5/10/2016,5.2
5/11/2016,5.16
5/12/2016,5.07
5/16/2016,5.25
5/17/2016,6.07
5/18/2016,6.11
5/19/2016,5.32
5/20/2016,5.35
5/23/2016,5.43
5/24/2016,5.35
5/25/2016,5.44
5/26/2016,5.15
5/27/2016,5.3
5/31/2016,4.98
6/1/2016,5.46
6/2/2016,5.88
6/3/2016,5.71
6/6/2016,5.72
6/7/2016,6.5
6/8/2016,6.2
6/9/2016,6.17
6/10/2016,6
6/13/2016,5.83
6/14/2016,5.79
6/15/2016,5.71
6/16/2016,5.77
6/17/2016,5.85
6/20/2016,5.94
6/21/2016,5.55
6/22/2016,5.63
6/23/2016,5.48
6/24/2016,5.4
6/27/2016,5.3
6/28/2016,5.47
6/29/2016,5.18
6/30/2016,5.31
7/1/2016,5.25
7/5/2016,5.23
7/6/2016,5.34
7/7/2016,5.91
7/8/2016,6.5
